"4","cernym1","Miroslav","Černý","3074893a95e5c3d1555adf608f206d66","cernym1@merici.ad12.cz"
"7","dvoram0","Marcela","Dvořáková","d7fee59c28fcb24749998b4700390003","dvoram0@logsys.ad12.cz"
"8","cernyj0","Jaroslav","Černý","05a75d60882123e6390550d320f0a065","cernyj0@infrast.ad12.cz"
"10","novotd0","Dagmar","Novotná","74b1c7ef7954ee7afda3b54dadb867f8","novotd0@telekom.ad12.cz"
"12","fialoj0","Jitka","Fialová","da020f08be3461b146cad9925b24e738","fialoj0@telekom.ad12.cz"
"13","cernym3","Michal","Černý","bf977226584ec6a216a0e7b6314e56e2","cernym3@uit.ad12.cz"
"17","bartom0","Marta","Bartošová","b8ca0d5e1068c9041cb6bcaebc1b60fa","bartom0@merici.ad12.cz"
"19","prochm0","Miroslav","Procházka","0e1e0b1321c31d10ce6cf8bb01929170","prochm0@infrast.ad12.cz"
"22","cernyj1","Josef","Černý","bd9f0bfe65ca8d77828a1fd170ba1866","cernyj1@sez.ad12.cz"
"23","pospip0","Petra","Pospíšilová","7ce892117a0cad613e6fdd010974db8f","pospip0@infrast.ad12.cz"
"24","cernyj2","Jan","Černý","4aa63e8bef00b5f2ad47953fdbdece1b","cernyj2@infrast.ad12.cz"
"27","ruzich0","Hana","Růžičková","bd0d515bb2ab79881e91e80cb34e8e8d","ruzich0@infrast.ad12.cz"
"28","prochv0","Věra","Procházková","1e825640bd056f848e09c13e8b1388e2",""
"31","kraloh0","Hana","Králová","b812a88071fedebfa6f7c3ae6ad02c67","kraloh0@uit.ad12.cz"
"33","veselj0","Josef","Veselý","aebe8503f077ef3811f7c59fb8bc7bfa","veselj0@telekom.ad12.cz"
"36","cermap0","Petr","Čermák","9d42e8b0da1826b18a0f3bdd450670a6","cermap0@telekom.ad12.cz"
"37","novakp0","Petr","Novák","d31a2144b4d7c9f6eaac562ae2afd781","novakp0@merici.ad12.cz"
"39","svoboh0","Hana","Svobodová","c11d1b01a8c2f50fca049b52b4b0f96d","svoboh0@telekom.ad12.cz"
"40","novakj1","Jiřina","Nováková","9d1cae1f14758a20f86b793dad9f0976","novakj1@telekom.ad12.cz"
"42","kratoj0","Josef","Kratochvíl","eb426bba26e786b3c1b070a8a56c8194","kratoj0@uit.ad12.cz"
"43","novakp1","Pavlína","Nováková","6159015bb828b3956e0a4f0a47c8ad98","novakp1@sez.ad12.cz"
"47","jelinj0","Jana","Jelínková","bc4b19d6145da0e713fd81c6ebb3f13c","jelinj0@infrast.ad12.cz"
"50","cernah1","Hana","Černá","8de6ddf4f89dae63f62f893027b2f70e","cernah1@sez.ad12.cz"
"51","vlcekv0","Vladimír","Vlček","abff263611ba312b42fd5e31d8c73f2b","vlcekv0@logsys.ad12.cz"
"53","novakz0","Zdeňka","Nováková","f2e600b4a239a6fa5a1070c3590895ac",""
"56","procha0","Aleš","Procházka","e9cbf900658145349059109b03081d0a","procha0@uit.ad12.cz"
"63","dvorap0","Pavlína","Dvořáková","d2dc031fd45ffeda546262574f23284e",""
"66","pospiz0","Zuzana","Pospíšilová","9e2425bcf4f5e44ebbfe63e03d35df49",""
"67","fialom0","Marie","Fialová","ee0d9f6b1610e7eb061bef6696b588a6",""
"71","cernyj3","Jiří","Černý","eed3fbada9804cd98ba624e35b271eeb","cernyj3@uit.ad12.cz"
"72","nemecj0","Jan","Němec","5788b6495e133079a2c4d8b9dd7ce8e7","nemecj0@infrast.ad12.cz"
"73","urbanj1","Jiří","Urban","81438508ddecd9d0d7ceaa95fce5c1d1","urbanj1@telekom.ad12.cz"
"77","veselm0","Markéta","Veselá","faf9c693426fe0a03d55d7d6550d63e4","veselm0@logsys.ad12.cz"
"81","kovari0","Irena","Kovářová","1db5cd25fd000fb788c46bd56b07832b","kovari0@merici.ad12.cz"
"82","svobok0","Kateřina","Svobodová","973e8552504ebee6c3ec4502f0a5fbeb","svobok0@uit.ad12.cz"
"84","benesm0","Markéta","Benešová","5731ef1054e683ac20a7fa125c51859d","benesm0@uit.ad12.cz"
"86","novakm0","Miroslav","Novák","78bdad4f2f9c219711982470ed432df7","novakm0@telekom.ad12.cz"
"89","novotm1","Markéta","Novotná","b95bdc4d4f1ca3e1cf55528900f84c10","novotm1@infrast.ad12.cz"
"90","novakm2","Milan","Novák","73629a4bc7115a9f7df72b448c4f21cc","novakm2@telekom.ad12.cz"
"91","zemanf0","František","Zeman","a04a62c6577c53ed6ec717b845284152","zemanf0@infrast.ad12.cz"
"97","navrar0","Růžena","Navrátilová","80090b55a293a569f20cef6d6c2febb9","navrar0@uit.ad12.cz"
"98","kralv0","Václav","Král","86b3328f2bb733a35018116ae423cb9a","kralv0@uit.ad12.cz"
"101","pospih0","Hana","Pospíšilová","a559ea5ed9ce7cd65ce42c67603d5da0",""
"107","pospim1","Michal","Pospíšil","ef6a988d0ab9771734f1edaf7477f25a","pospim1@infrast.ad12.cz"
"109","simkoj0","Jana","Šimková","7a38e94d515d79175d2bf2f14b7676df","simkoj0@telekom.ad12.cz"
"111","dolezf0","František","Doležal","0db4fd340efa62f46665f47d08ff8355","dolezf0@telekom.ad12.cz"
"113","fialod0","Dagmar","Fialová","4c81b1447ed868ddac2500e06d7ea92b","fialod0@infrast.ad12.cz"
"116","veselp1","Pavlína","Veselá","c25b7826b3049a22a35f92b70208f133","veselp1@sez.ad12.cz"
"117","svobom1","Miroslav","Svoboda","3d7598bef4aa5bb347396a244c11c59d","svobom1@sez.ad12.cz"
"118","kolarm0","Markéta","Kolářová","70759eaea597cee2bba198c89547e6b6","kolarm0@merici.ad12.cz"
"121","ruzicd0","Dana","Růžičková","3d3f7c6549a6c51cacd581372f22b5d0","ruzicd0@telekom.ad12.cz"
"122","marekj0","Josef","Marek","73497490e4eb36ca7d05943a141960dd",""
"123","pokorf0","František","Pokorný","63590b1ad6c041b64155ded6d63cf45f",""
"127","svobop1","Pavla","Svobodová","819cae923a19a06c1d8fc2c833526513","svobop1@uit.ad12.cz"
"128","kopecm0","Marcela","Kopecká","e57bffb5341eaf4ff8040fc671b26302",""
"129","dvorai0","Iveta","Dvořáková","e503b8b77a447164b5b96a5e2f56f4e3","dvorai0@sez.ad12.cz"
"130","novaks0","Stanislav","Novák","10c0b49534db09f08a9aca5fbbef2e05",""
